p80_http_get_headers_server,server_header_counter
Router Webserver,3949
RomPager/4.07 UPnP/1.0,2976
nginx,1393
Microsoft-IIS/10.0,1301
Apache,1115
httpd,965
micro_httpd,909
Ag [47],750
Microsoft-IIS/7.5,703
Mini web server 1.0 ZTE corp 2005.,703
uc-httpd 1.0.0,542
Apache/2.2.15 (CentOS),476
Microsoft-IIS/8.5,375
DNVRS-Webs,371
App-webs/,369
nginx/1.6.2,346
Apache/2.2.22 (Debian),332
nginx/1.8.0,330
Apache/2.4.7 (Ubuntu),314
gws,309
nginx/1.10.2,284
nginx/1.10.1,271
GoAhead-Webs,265
Microsoft-HTTPAPI/2.0,258
Apache/2.4.10 (Debian),249
mini_httpd/1.19 19dec2003,221
Microsoft-IIS/6.0,214
cisco-IOS,209
antid,208
nginx/1.8.1,180
Apache/2.2.16 (Debian),170
RomPager/4.51 UPnP/1.0,147
Swift1.0,145
nginx/1.2.1,139
nginx/1.4.6 (Ubuntu),138
lighttpd/1.4.28,133
Boa/0.94.14rc21,132
alphapd,132
squid/3.5.20,128
httpd/2.0,125
lighttpd/1.4.31,124
DVRDVS-Webs,122
GoAhead-Webs/2.5.0 PeerSec-MatrixSSL/3.1.3-OPEN,118
Apache-Coyote/1.1,118
Hikvision-Webs,113
"",110
Web Server,109
Router,108
Apache/2.4.18 (Ubuntu),91
Web server,88
WebServer,79
Microsoft-IIS/8.0,78
Boa/0.94.13,73
Apache/2.2.22 (Ubuntu),69
nginx/0.8.54,65
nginx/1.1.19,65
Cross Web Server,64
Microsoft-IIS/7.0,59
nginx/1.10.0 (Ubuntu),58
nginx/1.0.15,57
Waveplus HTTPD,57
dcs-lig-httpd,56
Lotus-Domino,52
Apache/2.2.3 (CentOS),46
thttpd/2.25b 29dec2003,41
Tengine,40
Apache/2.2.9 (Debian) mod_ssl/2.2.9 OpenSSL/0.9.8g,39
Apache/2.2.25 (Win32),38
Apache/2.2.15 (Win32),35
Apache/2.2.22 (Win32),35
Microsoft-IIS/5.1,35
TAS-Tech IPCam,34
Apache/2.4.6 (CentOS),33
nginx/1.4.7,33
Apache/2.2.31 (Unix) mod_ssl/2.2.31 OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4,33
nginx/0.7.67,32
lighttpd/1.4.43,31
nginx/1.4.4,30
Apache/2.2.19 (Unix) mod_ssl/2.2.19 OpenSSL/0.9.8e-fips-rhel5 PHP/5.3.6,29
nginx/1.6.0,29
Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips mod_fcgid/2.3.9 PHP/5.4.16,28
WebServer/1.0 UPnP/1.0,28
Mathopd/1.5p6,26
lighttpd/1.4.35,26
lighttpd/1.4.39,26
Linux/2.x UPnP/1.0 Avtech/1.0,26
Check Point SVN foundation,26
nginx/1.6.3,25
Apache/2.4.10 (Raspbian),25
Apache/2.4.6 (CentOS) PHP/5.4.16,24
Apache/2.2.9 (Debian) mod_ssl/2.2.9 OpenSSL/0.9.8g mod_fcgid/2.3.5,23
Apache/2.4.6 (CentOS) OpenSSL/1.0.1e-fips PHP/5.4.16,23
Apache/2,23
Apache/2.2.22 (@RELEASE@),22
nginx/1.10.0,22
nginx/1.9.10,22
GeoHttpServer,22
Apache/2.4.12 (Ubuntu),21
mhttpd v1.1,21
WindWeb/4.00,20
nginx/1.2.3,20
nginx/1.2.4,20
AkamaiGHost,20
nginx/1.4.3,19
Kerio Control Embedded Web Server,18
AR,18
Transmission,18
Apache/2.2.3 (Red Hat),17
Apache/2.2.24 (Amazon),17
WowzaStreamingEngine/4.4.1,17
nginx/0.6.32,17
lighttpd/1.4.32,15
Apache/2.2.14 (Ubuntu),15
Apache/1.3.42 (Unix) PHP/5.3.5 with Suhosin-Patch,15
Apache/2.4.17 (Win32) OpenSSL/1.0.2d PHP/5.6.21,15
WCY_WEBServer/2.0,15
nginx/1.6.1,14
Mbedthis-Appweb/2.4.2,14
Apache/2.0.55 (Win32) PHP/5.1.1,14
nginx/1.2.5,14
nginx/1.7.3,13
nginx/1.11.3,13
Ubicom/1.1,13
SimpleHTTP/0.6 Python/2.7.6,13
uc-httpd/1.0.0,13
tfc-webserver/1.0.0,13
nginx/1.11.5,13
Apache/2.2.16 (Debian) mod_ssl/2.2.16 OpenSSL/0.9.8o mod_fcgid/2.3.6,13
Boa/0.93.15,13
Apache/2.2.12 (Linux/SUSE),12
nginx/1.9.3 (Ubuntu),12
IPWEBS/1.4.0,12
Apache/2.2.27 (Win32) PHP/5.3.28,12
Apache/2.4.23 (cPanel) OpenSSL/1.0.1e-fips mod_bwlimited/1.4,12
TP-LINK Router,12
thttpd/2.25b PHP/20030920,12
CPWS,12
Apache/2.2.11 (Win32),11
nginx/0.7.65,11
HP-iLO-Server/1.30,11
nginx/1.0.6,11
nginx/1.2.6,11
Apache/2.2.25 (Unix) mod_ssl/2.2.25 OpenSSL/FIPS,11
CommuniGatePro/6.0.8,11
ZyCfg,11
nginx/0.8.55,11
cloudflare-nginx,10
Apache/2.4.10 (Win64),10
Apache/2.2.15 (Red Hat),10
nginx/1.7.6,10
Kerio Connect 8.3.4 patch 1,10
Oktell LS,10
JAWS/1.0 Oct 13 2015,10
Apache/2.2.22 (Win32) mod_ssl/2.2.22 OpenSSL/1.0.1c PHP/5.3.13,10
lighttpd/1.4.23,10
lighttpd,10
WebIOPi/0.7.1/Python3.2,9
Httpd,9
nginx admin,9
Virata-EmWeb/R6_0_1,9
Apache/2.2.17 (Win32),8
Apache/2.4.9 (Win64) OpenSSL/1.0.1g PHP/5.6.3,8
Apache/2.2.15 (Oracle),8
http server 1.0,8
Apache/2.2.31 (Unix) mod_ssl/2.2.31 OpenSSL/1.0.1e-fips mod_bwlimited/1.4 mod_fcgid/2.3.9,8
WindRiver-WebServer/4.7,8
MoxaHttp/2.2,8
PERCo Embedded server v1.0,8
Apache/2.2.17 (FreeBSD) mod_ssl/2.2.17 OpenSSL/0.9.8q DAV/2 PHP/5.2.17 with Suhosin-Patch,8
nginx/0.7.62,7
nginx/1.4.1,7
Apache/2.2.22 (Linux/SUSE),7
WCY_WEBServer/1.0,7
Kestrel,7
Apache/2.4.10 (Ubuntu),7
nginx/1.4.2,7
Httpd v1.0 05may2008,7
nginx/1.10.1 + Phusion Passenger 5.0.30,7
nginx/1.11.4,7
Apache/2.4.12 (Unix) OpenSSL/1.0.2,7
Apache/1.3.41 (Unix),7
Apache/2.0.40 (Red Hat Linux),7
Allegro-Software-RomPager/4.62,7
Cowboy,7
nginx/1.2.8,7
Allegro-Software-RomPager/4.30b3,7
nginx/1.11.1,6
TwistedWeb/13.2.0,6
nginx/1.9.4,6
Microsoft-IIS/5.0,6
nginx/1.7.9,6
lighttpd/1.4.42,6
lighttpd/1.4.38,6
Apache/2.2.8 (CentOS),6
nginx/0.8.53,6
nginx/1.2.7,6
Apache/2.2.26 (FreeBSD) PHP/5.3.28 with Suhosin-Patch mod_ssl/2.2.26 OpenSSL/1.0.1e-freebsd DAV/2,6
mhttpd v1.0,6
Alpha_webserv,6
nginx/1.11.2,6
Mrvl-R1_0,6
Apache/2.2.3 (Scientific Linux),6
Apache/2.4.6 (Ubuntu),6
Apache/2.2.11 (Unix) PHP/4.4.9,6
Netwave IP Camera,6
nginx/1.5.8,5
Apache/2.2.16 (Debian) mod_ssl/2.2.16 OpenSSL/0.9.8o,5
Kerio Connect 8.2.2,5
Embedthis-http/4.0.0,5
Apache/2.2.14 (Win32) PHP/5.3.22,5
nginx/1.9.9,5
Apache/2.2.27 (CentOS),5
Apache/2.2.19 (Unix) PHP/5.2.17,5
Apache/2.4.18 (Debian),5
game server,5
Apache/2.2.3 (Linux/SUSE),5
ENIServer,5
4D_WebStar_D/7.6,5
Apache/2.2.15 (Win32) mod_ssl/2.2.15 OpenSSL/0.9.8n mod_auth_sspi/1.0.4,5
nginx/1.9.3,5
GoAhead/2.1.5,5
Kerio Connect 9.1.1,5
Apache/2.4.10 (Win32) OpenSSL/1.0.1h PHP/5.4.31,5
Apache/2.2.22 (Win32) PHP/5.3.24,5
GedeminHttpServer,5
Apache/2.2.8 (Win32) PHP/5.2.6,5
nginx/1.9.12,5
Apache/2.2.9 (Unix) mod_ssl/2.2.9 OpenSSL/0.9.8o mod_wsgi/2.4 Python/2.6.2,5
Apache/2.2.9 (Debian) mod_ssl/2.2.9 OpenSSL/0.9.8g mod_jk/1.2.26,5
nginx/1.9.15,5
btk,5
Apache/2.4.17 (Win32) OpenSSL/1.0.2d PHP/5.6.15,5
Apache/2.4.10 (Win32) OpenSSL/1.0.1i PHP/5.5.15,5
Apache/2.0.52 (Win32) PHP/5.2.4 DAV/2,5
Apache/2.2.4 (Win32) PHP/5.2.6,5
nginx/1.6.2 (Ubuntu),5
MTBank Web Server,5
Apache/2.2.6 (Fedora),5
nginx/1.7.4,5
Apache/2.2.31 (Win32),5
nginx/1.0.4,4
myracloud,4
openresty,4
JAWS/1.0 Nov 19 2013,4
Apache/2.2.11 (Win32) DAV/2 mod_ssl/2.2.11 OpenSSL/0.9.8i PHP/5.2.9,4
lighttpd/1.4.25-devel-f93da54,4
HTTP Server 1.0,4
TinyWeb/1.93,4
