p80_http_get_headers_server,server_header_counter
AkamaiGHost,10036006
Apache,9096805
RomPager/4.07 UPnP/1.0,3978423
nginx,3087566
micro_httpd,3016970
Microsoft-IIS/7.5,2666995
"",2356438
DNVRS-Webs,2010417
Microsoft-IIS/10.0,1718127
Apache/2.2.15 (CentOS),1687694
Microsoft-IIS/6.0,1484616
mini_httpd/1.19 19dec2003,1454359
GoAhead-Webs,1445342
uc-httpd 1.0.0,1316409
Microsoft-HTTPAPI/2.0,1293208
Microsoft-IIS/8.5,1107429
httpd,1053221
Boa/0.94.14rc21,923338
Apache/2.4.7 (Ubuntu),831510
cloudflare-nginx,719511
Apache-Coyote/1.1,680315
Boa/0.94.13,663174
Cross Web Server,660801
App-webs/,648115
DVRDVS-Webs,632020
lighttpd/1.4.35,595940
Router Webserver,521567
WebServer/1.0 UPnP/1.0,491274
